SIGUNGU_NM,LV2_CODE,LV2_NAME,AREA_M2
용산구,320,침엽수림,90599.1528775379
용산구,330,혼효림,764644.8174325889
용산구,430,기타초지,948509.7090580475
용산구,610,채광지역,2637.440596508513
용산구,620,기타나지,382402.3379813844
용산구,710,내륙수,3725224.0956250927
은평구,110,주거지역,9847209.875061324
은평구,120,공업지역,240454.5816967267
은평구,130,상업지역,843054.31404231
은평구,140,위락시설지역,59288.84837345451
은평구,150,교통시설지역,2292460.236254866
은평구,160,공공시설지역,1085331.280164355
은평구,220,밭,659129.4404637486
은평구,310,활엽수림,4287127.42974961
은평구,320,침엽수림,3469856.591814098
은평구,330,혼효림,5520715.427147208
은평구,410,자연초지,168629.23911254448
은평구,430,기타초지,106450.43822983601
은평구,510,내륙습지,3560.5882890283215
은평구,620,기타나지,1051736.781214202
은평구,710,내륙수,138885.280929872
종로구,110,주거지역,6058609.555476348
종로구,130,상업지역,2178435.3693583934
종로구,140,위락시설지역,362610.1233007061
종로구,150,교통시설지역,1859713.139461886
종로구,160,공공시설지역,2151587.727353454
종로구,310,활엽수림,3786077.2756763697
종로구,320,침엽수림,2183730.740001442
종로구,330,혼효림,4341438.642857319
종로구,410,자연초지,127280.57192017068
종로구,430,기타초지,254186.37867351747
종로구,620,기타나지,598746.1468515543
종로구,710,내륙수,70425.04455900712
중구,110,주거지역,1728399.7784443072
중구,120,공업지역,12508.265635501795
중구,130,상업지역,2847075.3061768855
중구,140,위락시설지역,181835.6564063772
중구,150,교통시설지역,1954340.0896786493
중구,160,공공시설지역,1761271.3855786312
중구,310,활엽수림,424357.6592403164
중구,320,침엽수림,1663.4493440350986
중구,330,혼효림,723962.0432182499
중구,430,기타초지,160404.78421148408
중구,620,기타나지,173947.09116780778
중구,710,내륙수,12703.152955271067
중랑구,110,주거지역,5827157.551020776
중랑구,120,공업지역,97197.80297758707
중랑구,130,상업지역,1470519.1081335982
중랑구,150,교통시설지역,2167979.853156434
중랑구,160,공공시설지역,1356726.7147278853
중랑구,220,밭,623259.2476669904
중랑구,230,하우스재배지,1031.3205445646086
중랑구,240,과수원,437037.96847687196
중랑구,250,기타재배지,10021.111470766318
중랑구,320,침엽수림,1367828.697065879
중랑구,330,혼효림,2127840.909405481
중랑구,430,기타초지,2059122.0977840724
중랑구,620,기타나지,722929.9422832604
중랑구,710,내륙수,254525.01230489914
