SIGUNGU_NM,CODE,AREA_M2
서초구,120,50031.76481659143
서초구,130,3344862.6954453206
서초구,140,169012.50511538223
서초구,150,2210902.9297267958
서초구,160,4016435.272708102
서초구,210,371334.6040920288
서초구,220,2520393.3127768845
서초구,230,1482203.293351219
서초구,250,23832.818102484194
서초구,310,11778912.56718907
서초구,320,1487414.2853425585
서초구,330,4371837.343768567
서초구,410,34997.850532578326
서초구,420,19534.074775643276
서초구,430,387856.71607332537
서초구,510,41585.24010777582
서초구,620,1381362.3727780182
서초구,710,1457252.6891816845
성동구,110,7387376.999515535
성동구,120,521076.33223123587
성동구,130,946770.8043229908
성동구,150,1150340.614972875
성동구,160,2556898.3112168084
성동구,310,223067.3628770297
성동구,330,221554.43596269644
성동구,430,26216.107866545644
성동구,510,191008.0846089701
성동구,620,1126177.6786419332
성동구,710,2454006.5704696164
성북구,110,12164521.290985962
성북구,130,571094.837071691
성북구,150,705833.0475004645
성북구,160,2385347.15157922
성북구,310,5421223.752291778
성북구,320,157624.62266495844
성북구,330,2263338.034425784
성북구,410,27478.48994038647
성북구,430,22030.15056782428
성북구,620,811608.7857615598
성북구,710,30121.793496404833
송파구,110,10967976.20769442
송파구,120,107441.80497805575
송파구,130,3507011.114976298
송파구,140,1192555.1677716763
송파구,150,2605339.213577401
송파구,160,4838261.4036600785
송파구,210,798702.7907526193
송파구,220,1588131.4807794213
송파구,230,200788.95854784283
송파구,310,608878.8863129356
송파구,320,169094.64582967633
송파구,330,398290.2543175148
송파구,410,78236.18778604465
송파구,420,314091.1178573835
송파구,430,717079.1335091321
송파구,510,656065.1326618092
송파구,620,1006298.0903545881
송파구,710,4072581.011771417
양천구,110,9232478.087582111
양천구,120,101325.98679937879
양천구,130,1907827.5189914277
양천구,140,443541.19161301525
양천구,150,1262420.344354604
양천구,160,1840517.960291441
양천구,220,60283.12021592252
양천구,310,621404.6294873479
양천구,320,602600.4604615865
양천구,330,803872.2881079706
양천구,430,329791.3391946421
양천구,620,125916.07877781175
양천구,710,118316.02494268409
영등포구,110,7948375.635472643
영등포구,120,975432.6912593237
영등포구,130,4171112.582575359
영등포구,140,1482056.5105500934
영등포구,150,2198453.6862827493
영등포구,160,1337232.1080988182
영등포구,420,18722.115371509008
영등포구,430,945111.4968812013
