SIGUNGU_NM,L3_CODE,L3_NAME,AREA_M2
금천구,131,상업·업무시설,1536132.4897901476
금천구,132,혼합지역,1228.2653534786837
금천구,141,문화·체육·휴양시설,93444.17697623739
금천구,153,철도,174268.0800341309
금천구,154,도로,4190922.127903606
금천구,155,기타 교통·통신시설,11514.46905037377
금천구,161,환경기초시설,12178.339706320954
금천구,162,교육·행정시설,151051.9832580107
금천구,163,기타 공공시설,191454.01398185577
금천구,222,경지정리가 안 된 밭,12634.603772660812
금천구,241,과수원,2215.7281341359476
금천구,311,활엽수림,2074292.4928130452
금천구,321,침엽수림,230925.4443637322
금천구,331,혼효림,256331.2655356983
금천구,422,묘지,9076.995618824332
금천구,423,기타초지,945702.8730845348
금천구,511,내륙습지,14929.41900635527
금천구,612,강기슭,21243.596414958363
금천구,613,암벽·바위,90080.2580088815
금천구,622,운동장,121922.63669556692
금천구,623,기타나지,329998.794665835
금천구,711,하천,260710.52609894765
금천구,712,호소,1874.8066404242697
노원구,111,단독주거시설,859365.3953183581
노원구,112,공동주거시설,1524628.5034777718
노원구,121,공업시설,14313.174287486985
노원구,131,상업·업무시설,1141639.7920283673
노원구,132,혼합지역,31373.783017898408
노원구,141,문화·체육·휴양시설,524227.023587522
노원구,153,철도,310940.48369413137
노원구,154,도로,8165040.891460425
노원구,155,기타 교통·통신시설,6155.399976882205
노원구,161,환경기초시설,26104.952043418496
노원구,162,교육·행정시설,616416.2984969742
노원구,163,기타 공공시설,357628.1669534199
노원구,212,경지정리가 안 된 논,6094.9426030994855
노원구,222,경지정리가 안 된 밭,181210.40495858458
노원구,231,시설재배지,8287.082862997995
노원구,241,과수원,74343.59725929596
노원구,252,기타재배지,32989.132901998244
노원구,311,활엽수림,10050173.358771903
노원구,321,침엽수림,3890074.2097948934
노원구,331,혼효림,1203569.8816664603
노원구,411,자연초지,72033.37841705226
노원구,421,골프장,314761.78101178154
노원구,422,묘지,40681.182333030236
노원구,423,기타초지,4069162.670236646
노원구,511,내륙습지,34092.0998708249
노원구,612,강기슭,56985.12331194756
노원구,613,암벽·바위,545461.5057160319
노원구,622,운동장,403889.5110745849
노원구,623,기타나지,636763.484929071
노원구,711,하천,333648.46139433904
노원구,712,호소,31935.672366035702
도봉구,111,단독주거시설,1133659.4438681258
도봉구,112,공동주거시설,1160752.7200709016
도봉구,121,공업시설,22905.84480120225
도봉구,131,상업·업무시설,933337.050139208
도봉구,132,혼합지역,27382.789050244246
도봉구,141,문화·체육·휴양시설,166930.43473913032
도봉구,153,철도,94410.65240264668
도봉구,154,도로,4789689.578002553
도봉구,155,기타 교통·통신시설,4892.969830850447
도봉구,161,환경기초시설,2143.7071618749255
도봉구,162,교육·행정시설,258430.13181765634
도봉구,163,기타 공공시설,205064.7145127956
도봉구,212,경지정리가 안 된 논,6915.703101175141
도봉구,221,경지정리가 된 밭,18677.872265609883
도봉구,222,경지정리가 안 된 밭,206542.68312474783
도봉구,231,시설재배지,13600.865097479113
도봉구,241,과수원,41297.95711716378
도봉구,252,기타재배지,7499.909283036935
도봉구,311,활엽수림,6866497.938349125
도봉구,321,침엽수림,553860.6318538545
도봉구,331,혼효림,1543697.3090787209
도봉구,422,묘지,229078.20744511814
도봉구,423,기타초지,1173131.2286392858
도봉구,511,내륙습지,70188.49168467919
도봉구,612,강기슭,41551.370732799536
도봉구,613,암벽·바위,415684.5306824149
도봉구,622,운동장,186257.14133452336
도봉구,623,기타나지,374495.35089164117
도봉구,711,하천,136521.75619194738
도봉구,712,호소,4284.841308138483
동대문구,111,단독주거시설,2172899.704644866
동대문구,112,공동주거시설,745970.2476841316
동대문구,121,공업시설,12751.879806583915
동대문구,131,상업·업무시설,2129732.667058514
동대문구,132,혼합지역,10667.18139878702
동대문구,141,문화·체육·휴양시설,174927.4244136952
동대문구,153,철도,163192.34616993341
동대문구,154,도로,4918401.938903676
동대문구,155,기타 교통·통신시설,14449.446087200977
동대문구,161,환경기초시설,3036.335592952169
동대문구,162,교육·행정시설,358318.232526484
동대문구,163,기타 공공시설,203544.70800685667
동대문구,222,경지정리가 안 된 밭,3856.624907384943
동대문구,231,시설재배지,2734.359024833164
동대문구,311,활엽수림,758576.1807857008
동대문구,321,침엽수림,109343.31640730104
동대문구,331,혼효림,115520.36804381189
동대문구,411,자연초지,99444.70143036878
동대문구,422,묘지,704.4046329593039
동대문구,423,기타초지,1529310.6775314226
동대문구,511,내륙습지,16844.337852006076
동대문구,612,강기슭,5970.38609322129
동대문구,613,암벽·바위,2641.1134949634684
동대문구,622,운동장,162623.3772902736
동대문구,623,기타나지,436445.84432376974
동대문구,711,하천,107807.66113020784
동대문구,712,호소,6654.959072902398
동작구,111,단독주거시설,2220244.564158494
동작구,112,공동주거시설,1278720.1935886352
동작구,121,공업시설,2700.972041761498
동작구,131,상업·업무시설,1213186.7299404847
동작구,132,혼합지역,1302.592722758236
동작구,141,문화·체육·휴양시설,202540.90492839794
동작구,153,철도,96203.64750396392
동작구,154,도로,4753557.88350332
동작구,155,기타 교통·통신시설,23478.798013583895
동작구,161,환경기초시설,3959.269160058756
동작구,162,교육·행정시설,319808.566795655
동작구,163,기타 공공시설,185481.95424188042
동작구,221,경지정리가 된 밭,2804.5302645933684
동작구,222,경지정리가 안 된 밭,23491.251478933093
동작구,231,시설재배지,843.6103532026632
동작구,311,활엽수림,2208205.829579448
동작구,321,침엽수림,251307.22197871367
동작구,331,혼효림,323937.48068902706
동작구,411,자연초지,58873.0944850603
동작구,422,묘지,312113.7999471646
동작구,423,기타초지,2030311.5724784734
동작구,511,내륙습지,10723.992157034285
동작구,622,운동장,171563.04066010076
동작구,623,기타나지,366803.8067208813
동작구,711,하천,288771.07540746476
동작구,712,호소,12680.950311245335
마포구,111,단독주거시설,1773791.4961005116
마포구,112,공동주거시설,1167064.9601221506
마포구,131,상업·업무시설,1734318.1798779534
마포구,132,혼합지역,21352.237323692076
마포구,141,문화·체육·휴양시설,271506.09719325876
마포구,153,철도,182610.65748748113
마포구,154,도로,7636726.364513127
마포구,155,기타 교통·통신시설,37665.57943466067
마포구,161,환경기초시설,23217.972985728942
마포구,162,교육·행정시설,271609.5746597673
마포구,163,기타 공공시설,223129.05042833605
마포구,222,경지정리가 안 된 밭,19176.046779605975
마포구,231,시설재배지,2248.3775266398925
마포구,311,활엽수림,584987.5799751284
마포구,321,침엽수림,83238.18174706088
마포구,331,혼효림,73426.70847242599
마포구,411,자연초지,90336.4522631792
마포구,421,골프장,124788.26997427572
마포구,422,묘지,5987.103066344627
마포구,423,기타초지,4432069.696070284
마포구,511,내륙습지,127836.38643743598
마포구,612,강기슭,17845.96753087789
마포구,622,운동장,187125.71382142277
마포구,623,기타나지,581183.1852406906
마포구,711,하천,4151047.189341181
마포구,712,호소,20529.226358698586
서대문구,111,단독주거시설,2064143.6196716733
서대문구,112,공동주거시설,1068302.0222944806
서대문구,121,공업시설,1373.1704933050469
서대문구,131,상업·업무시설,1016458.4556089055
서대문구,141,문화·체육·휴양시설,192429.28972717558
서대문구,153,철도,77081.27069081957
서대문구,154,도로,5055663.288977803
서대문구,155,기타 교통·통신시설,6980.01299118835
서대문구,161,환경기초시설,2693.0155727201363
서대문구,162,교육·행정시설,441674.72703713924
서대문구,163,기타 공공시설,131303.30446066445
서대문구,222,경지정리가 안 된 밭,53564.05915659478
서대문구,231,시설재배지,1804.2608394470217
서대문구,252,기타재배지,3057.6042947274977
서대문구,311,활엽수림,3528578.3177360026
서대문구,321,침엽수림,1079623.713645272
서대문구,331,혼효림,297561.33347829257
서대문구,411,자연초지,201597.7364240407
서대문구,422,묘지,1129.4414941523314
서대문구,423,기타초지,1523464.5963904338
서대문구,511,내륙습지,36504.17539120256
서대문구,612,강기슭,16668.33935438471
서대문구,613,암벽·바위,286541.2867903378
서대문구,622,운동장,128560.04361812258
서대문구,623,기타나지,422403.5201568665
서대문구,711,하천,35545.80607916518
서초구,111,단독주거시설,1177978.5948227195
서초구,112,공동주거시설,2237766.359404578
서초구,121,공업시설,12397.318128803612
서초구,131,상업·업무시설,3118874.4958613375
서초구,132,혼합지역,43119.373101649515
서초구,141,문화·체육·휴양시설,440475.9326300184
서초구,153,철도,2510.37404094241
서초구,154,도로,10258622.305433536
서초구,155,기타 교통·통신시설,27024.034430390595
서초구,161,환경기초시설,5955.579047797286
서초구,162,교육·행정시설,341921.4417921877
서초구,163,기타 공공시설,273167.2454960558
서초구,222,경지정리가 안 된 밭,1310499.2593193168
서초구,231,시설재배지,194247.80786196468
서초구,241,과수원,53958.99936953704
서초구,251,목장·양식장,4436.756744290927
서초구,252,기타재배지,307270.28186640725
서초구,311,활엽수림,15741372.16785921
서초구,321,침엽수림,1338071.1141575982
서초구,331,혼효림,1787508.5211925479
서초구,411,자연초지,75691.29363271539
서초구,422,묘지,117751.55142613985
서초구,423,기타초지,5227040.180734377
서초구,511,내륙습지,130564.33111579719
서초구,612,강기슭,28022.081257377933
서초구,613,암벽·바위,349.9176132602621
서초구,621,채광지역,10422.647390597958
서초구,622,운동장,219915.24985932416
서초구,623,기타나지,1006656.4188502497
서초구,711,하천,1383578.4794078814
서초구,712,호소,8161.044750624517
성동구,111,단독주거시설,1228343.355467097
성동구,112,공동주거시설,713325.2270951712
성동구,121,공업시설,194666.86926850674
성동구,131,상업·업무시설,1710390.4318150657
성동구,132,혼합지역,26229.31608228773
성동구,141,문화·체육·휴양시설,253798.66103333945
성동구,153,철도,269396.23743744433
성동구,154,도로,5359625.605582693
성동구,155,기타 교통·통신시설,13453.228224804177
성동구,161,환경기초시설,323935.0079049545
성동구,162,교육·행정시설,277580.63492416183
성동구,163,기타 공공시설,188645.29426583002
성동구,222,경지정리가 안 된 밭,14086.821158989702
성동구,231,시설재배지,663.9497720389732
성동구,252,기타재배지,1736.56115357213
성동구,311,활엽수림,544365.5053879031
성동구,321,침엽수림,23516.27340604949
성동구,331,혼효림,83091.16488123547
성동구,411,자연초지,316574.76852905896
성동구,423,기타초지,2300709.501984899
성동구,511,내륙습지,105908.68004570369
성동구,612,강기슭,14862.381538703674
성동구,613,암벽·바위,11261.619229098023
성동구,622,운동장,109609.48391788665
성동구,623,기타나지,370451.81830196123
성동구,711,하천,2326883.9502030537
성동구,712,호소,21380.95305668604
성북구,111,단독주거시설,3389141.687337611
성북구,112,공동주거시설,1245052.8065188623
성북구,121,공업시설,5459.450527593632
성북구,131,상업·업무시설,1275447.614301027
성북구,132,혼합지역,7298.558960829369
성북구,141,문화·체육·휴양시설,251927.39601367858
성북구,153,철도,44573.81658996612
성북구,154,도로,5949563.563744634
성북구,155,기타 교통·통신시설,11549.249015050238
성북구,161,환경기초시설,3262.35106298565
성북구,162,교육·행정시설,558253.8850476745
성북구,163,기타 공공시설,303809.39463362726
성북구,221,경지정리가 된 밭,272.3083787029281
성북구,222,경지정리가 안 된 밭,72667.04996671302
성북구,231,시설재배지,518.3153991304467
성북구,241,과수원,1856.4687263851947
성북구,311,활엽수림,4529174.083171742
성북구,321,침엽수림,1526236.1826280635
성북구,331,혼효림,1537440.7222565757
성북구,411,자연초지,292352.5998120769
성북구,422,묘지,2943.249277073509
성북구,423,기타초지,2405279.1435649325
성북구,511,내륙습지,26504.878750990065
성북구,612,강기슭,30893.360893782967
성북구,613,암벽·바위,110402.35054996733
성북구,622,운동장,237694.41483970126
성북구,623,기타나지,679592.5978442773
성북구,711,하천,57023.24528965686
성북구,712,호소,4031.2102986674386
송파구,111,단독주거시설,1530058.514092442
송파구,112,공동주거시설,2397371.272954943
송파구,121,공업시설,9312.769286517358
송파구,131,상업·업무시설,2556193.6575393244
송파구,132,혼합지역,25492.291672892912
송파구,141,문화·체육·휴양시설,693769.4418214466
송파구,153,철도,20026.08285446149
송파구,154,도로,12247753.395752076
송파구,155,기타 교통·통신시설,32486.1768069853
송파구,161,환경기초시설,23542.413218835503
송파구,162,교육·행정시설,449431.3226161213
송파구,163,기타 공공시설,291564.73029932193
송파구,212,경지정리가 안 된 논,3478.999203864175
송파구,222,경지정리가 안 된 밭,249383.9479321018
송파구,231,시설재배지,74300.72220744374
송파구,241,과수원,5561.807162746847
송파구,252,기타재배지,38195.085876824414
송파구,311,활엽수림,716107.2756482862
송파구,321,침엽수림,203749.1814959042
송파구,331,혼효림,144278.42854812503
송파구,411,자연초지,327214.6254737141
송파구,422,묘지,3636.939417266472
송파구,423,기타초지,5482391.038719693
송파구,511,내륙습지,378902.74082853895
송파구,612,강기슭,57234.729457506844
송파구,622,운동장,395223.0519682954
송파구,623,기타나지,1725797.5836816235
송파구,711,하천,3533326.1518144994
송파구,712,호소,211039.98671370797
양천구,111,단독주거시설,1180668.2054248652
양천구,112,공동주거시설,1757877.3707720474
양천구,121,공업시설,5360.9410076247605
양천구,131,상업·업무시설,1264203.8847392495
양천구,132,혼합지역,32977.43913551742
양천구,141,문화·체육·휴양시설,292211.88328029495
양천구,153,철도,48936.646205514146
양천구,154,도로,6895030.254064286
양천구,155,기타 교통·통신시설,15347.161986387138
양천구,161,환경기초시설,27260.32944082778
양천구,162,교육·행정시설,277165.7318155854
양천구,163,기타 공공시설,176392.60880549124
양천구,221,경지정리가 된 밭,26791.293046088944
양천구,222,경지정리가 안 된 밭,78919.40671793697
양천구,231,시설재배지,15403.282090225894
양천구,252,기타재배지,17349.00111345566
양천구,311,활엽수림,1514351.1932620227
양천구,321,침엽수림,366278.03762866295
양천구,331,혼효림,213401.63716644445
양천구,411,자연초지,247373.2105250237
양천구,422,묘지,6200.605772381125
양천구,423,기타초지,2158410.8305999925
양천구,511,내륙습지,7720.396623340948
양천구,613,암벽·바위,660.6453848675839
양천구,622,운동장,337998.6089322887
양천구,623,기타나지,352664.8252364319
양천구,711,하천,103355.43707560364
양천구,712,호소,29984.25515339562
영등포구,111,단독주거시설,1575028.346362616
영등포구,112,공동주거시설,783928.3636032107
영등포구,121,공업시설,89880.29893275134
영등포구,131,상업·업무시설,2715586.6477120696
영등포구,132,혼합지역,23982.552435500314
영등포구,141,문화·체육·휴양시설,252810.37812319447
영등포구,153,철도,171861.25704530976
영등포구,154,도로,8480029.0529463
영등포구,155,기타 교통·통신시설,47324.10466529872
